SL NO,District,Location Name As Per List,Location Address,Location Category,Hotspot included in Phase 
690,Alleppey,Municipal office Cherthala,"Near Ksrtc bus stand,Cherthala, Kerala 688524",Municipal Office,Phase-2
691,Alleppey,Thaneermukkam GP,"SH40, Thanneermukkom, Kerala 688527",Panchayat office,Phase-2
692,Alleppey,Public Library Kavunkal,"Public Library, Kavunkal, Mannanchery,688538",Library,Phase-2
693,Alleppey,Aryad Block Panchayat Office,"Block Road,Kalavoor, Alappuzha, Kerala 688522",Block Office,Phase-2
694,Alleppey,Paravoor Public Library,"Punnapra North PO, Alappuzha, Kerala 688014",Library,Phase-2
695,Alleppey,Ambalappuzha North Grama Panchayath Office,"Neerkunnam, Ambalapuzha, Kerala 688005",Panchayat office,Phase-2
696,Alleppey,Alappuzha Municipal Office,"Near iron bridge,CCSB Road, Alappuzha, Kerala 688001",Municipal Office,Phase-2
697,Alleppey,"Panchayath Office, Arookutty","Cherthala - Arookutty Rd, Arookutty, Kerala 688535",Panchayat office,Phase-2
698,Alleppey,Thakazhy Grama Panchayath Office,"Thakazhi, Kerala 688562",Panchayat office,Phase-2
699,Alleppey,aroor temple junction,"Aroor grama panchayath,NH47, near Aroor temple jn, , Kerala 688534",Panchayat office,Phase-2
700,Alleppey,thuravoor taluk hospital / Temple,"NH 66, Thuravoor, 
Thuravoor Thekku, 
Kerala 688532",Hospital,Phase-2
701,Alleppey,Arthunkal church Junction,"Arthunkal police station,near church jn,Church Road, Arthunkal, 
Kerala 688530
",Police Station,Phase-2
702,Alleppey,Nedumudi Bus Stop / Ferry,"Nedumudy police station,near Nedumudy bridge, Kerala 688502",Police Station,Phase-2
703,Alleppey,Chettikulanagara Temple Jn,"Chettikulangara Panchayath, , Chettikulangara temple jn, Mavelikara, Kerala 690106",Panchayat office,Phase-2
704,Alleppey,District Hospital Mavelikkara," Thazhakkara, Mavelikara, Kerala 690102",Hospital,Phase-2
705,Alleppey,District Hospital Chengannur,"New Hospital Building Near Engineering college ,Althara - Engineering College Jct Rd, Chengannur, Kerala 689121",Hospital,Phase-2
706,Alleppey,Muthukulam panchayat office ,"Muthukulam, Kerala 690506",Panchayat office,Phase-2
707,Alleppey,Thrikunnapuzha Panachayat /Police station.,"Thrikkunnapuzha, Kerala 690515",Panchayat office,Phase-2
708,Alleppey,Kayamkulam Municipality,"Kayamkulam, Alappuzha, Kerala 690502",Municipal Office,Phase-2
709,Alleppey,Vallikunnam Panchayathu Office,"Vallikunnam, Kerala 690501",Panchayat office,Phase-2
710,Alleppey,Krishi bhavan Alappuzha,"Krishi bhavan Alappuzha VCSB Road, Erezha, Mullakkal, Alappuzha, 688011",Govt Office,Phase-2
711,Alleppey,Haripad block panchayath,"Haripad block panchayath Mannarashala- Thamallackkal Road, near Mannarashala temple, Haripad, Kerala. 690514.",Block Office,Phase-2
712,Alleppey,Nehru Trophy finishing point,"Department of Tourism office,Near Boat Racing Finishing Point,Punnamada,Alappuzha,688013",Tourist Place,Phase-2
713,Alleppey,District Court Alappuzha,"Alappuzha - Veliyanad Road, Kidangamparamp, Thathampally, Kerala 688013",Court,Phase-2
714,Alleppey,DTPC Office & Boat Jetty Alappuzha,"Boat Jet Road, Near KSRTC Bus Station, Alappuzha, Kerala 688011",Tourist Place,Phase-2
715,Alleppey,Punthala Matsya Bhavan,"Matsya bhavan,Punthala,NH 66,Thottapally,Purakkad,Alappuzha,688561",Fisheries Department,Phase-2
716,Alleppey, THQH Chettikad,"Taluk hospital RHTC,Chetticadu,SH66,Thumpoly,Alappuzha,688521,Alp 0477-2248680 18 RMararikulam South Panchayath",Hospital,Phase-2
717,Alleppey, THQH Haripad,"Taluk hospital ,NH 47, Haripad, Kerala 690514",Hospital,Phase-2
718,Alleppey, THQH Kayamkulam,"Taluk hospital Kayamkulam,Kerala.690502,Alp 0479-2447274 125 U Kayamkulam Municippality",Hospital,Phase-2
719,Alleppey,Vadakkal Matsya Bhavan,"Matsya bhavan,Vadakkal,Near railway station Alappuzha,688007",Fisheries Department,Phase-2
720,Alleppey,Beach Police Station,"Beach Rd, Civil Station Ward, Alappuzha, Kerala 688012",Tourist Place,Phase-2
721,Alleppey,"College of Engineering, Chengannur","Chengannur P.O., Alappuzha Dt, Chengannur, Kerala 689121",University/College,Phase-2
722,Alleppey,University Institute of Management,"University institute Of Management Kalarcode, Eravukadu, Alappuzha, Kerala 688003",University/College,Phase-2
723,Ernakulam,"Community Health Centre , Vadavucode","Medical Officer, Community Health Centre , Vadavucode P.O., Pin- 682310",Hospital,Phase-1
724,Ernakulam,KSRTC Bus Stand Muvattupuzha,Muvattupuzha P O Kerala Pin 686662,Bus Stand,Phase-1
725,Ernakulam,Mini Civil Station Tripunitura,"Mini cvil station ,Old bus stand ,Tripunithur a",Civi Station/Mini Civil station,Phase-1
726,Ernakulam,Muvattupuzha block panchayath office,"Muvattupuzha block office, Mudavoor, Muvattupuzha 686691",Block Office,Phase-1
727,Ernakulam,Taluk Office Muvatupuzha,"First floor, Mini Civil Station, Pattimattom  Rd, Muvattupuzha, Kerala 686673",Taluk Office,Phase-1
728,Ernakulam,Paipra Kavala,"Pezhakkappilly P.O, Muvattupuzha , Ernakulam Dist., PIN: 686673",Library,Phase-1
729,Ernakulam,Taluk Hospital Tripunitura,Taluk hospital tripunithura,Hospital,Phase-1
730,Ernakulam,Thammanimattom Swadesi Vayanasala,"Thammanimattom, Pin- 686663",Library,Phase-1
731,Ernakulam,Tripunithura municipal office,"Tripunithura Municipality ,Near Layam Ground,Layam Road,682301",Municipal Office,Phase-1
732,Ernakulam,Vadavucode Block office,"Bock office Vaduvucode, Vadavucode P.O Ernakulam, Kerala 560037",Block Office,Phase-1
733,Ernakulam,Valakom Junction,"Valakom Junction , Kunnackal.p.O-Kunnackal682316",Panchayat office,Phase-1
734,Ernakulam,Valakom Public Library," Valakom, Kerala 682316",Library,Phase-1
735,Ernakulam,Panchayath Office Kunnathunad,"Kunnathunad Panchayath,Kumarapuram.P.O-683565",Panchayat office,Phase-1
736,Ernakulam,Additional District Court,"Additional district court, Near Paravur Main Post Office ,North Paravur ,Pin 683513",Court,Phase-1
737,Ernakulam,Angamaly Block Panchayath Office,"Angamaly Block Panchayath
TB Junction
Angamaly - 683572",Block Office,Phase-1
738,Ernakulam,Angamaly Municipal Office,Municipal office angamaly P O pin 683572,Municipal Office,Phase-1
739,Ernakulam,Angamaly PHC,Angamaly KSRTC Bus stand Near municipal office angamaly po pin 683572,Hospital,Phase-1
740,Ernakulam,Alangad BP Office,"Alangad Block Panchayath, Kottapuram.P.O., Pin 683511",Block Office,Phase-1
741,Ernakulam,"Ambedkar Park ,North Paravur","Ambedkar Park North Paravur ,Pin 683513",Tourist Place,Phase-1
742,Ernakulam,Angamaly Pvt Bus Stand,"Main Central Road, Opposite Thomson Dental Clinic, Angamaly, Kerala 683572",Bus Stand,Phase-1
743,Ernakulam,Chengamanad Vanikazhebaram VaayanaShaala,"Chengamanad,Chengamanad P.O,",Library,Phase-1
744,Ernakulam,PHC Chengamanad,"CHC Chengamanad,Chengamanad P.O,683578",Hospital,Phase-1
745,Ernakulam,Cherai Beach,Cherai Beach Cherai P O 683514,Library,Phase-1
746,Ernakulam,Cherai Junction,"Cherai Junction,Devaswam Nada Cherai P O 683514",Panchayat office,Phase-1
747,Ernakulam,Choornikara GP,"Choornikara Panchayath Office,SWTS Rd, National Highway 47, Thaikattukara P. O., Companypady Junction, Choornikkara, Kochi, Kerala 683106",Panchayat office,Phase-1
748,Ernakulam,Chittoor Ferry Busstand,"South Chittoor Road, South Chittoor, Ernakulam, Kerala 682027",Bus Stand,Phase-1
749,Ernakulam,PHC Chowara,PHC Sreemoolanaagaram PO Aluva- Pin 683580,Hospital,Phase-1
750,Ernakulam,Chendamangalam Paliyam Nada,"GHSS paliyam school, Chendamangalam Paliyam Nada, Chendamangalam P O, North Paravur-683512",Bus Stand,Phase-1
751,Ernakulam,Chettibhagam Junction,"Chettibhagam Junction, Varapuzha P.O., Pin 683517",Library,Phase-1
752,Ernakulam,EAST KADUNGALLOOR JUNCTION,"East Kadungalloor Bus Stop , Kadungalloor Road, Thottakkattukara, Aluva, Kerala 683110",Library,Phase-1
753,Ernakulam,Panchayath Mini Civil Station Edavanakad,"Panchayath Mini Civil Station , Edavanakkad P O",Civi Station/Mini Civil station,Phase-1
754,Ernakulam,Govt.Hospital Junction Aluva,"District Hospital,Govt.Hospital Junction.Railway station Road Aluva,Govt.Hospital Junction,PIN-683101",Hospital,Phase-1
755,Ernakulam,Kadamakudy Library Office,"Kadamakudy Library Office,Near Panchayat Office,Pizhala P O,EKM,Pin:682027",Library,Phase-1
756,Ernakulam,Kongorpilly Junction,"Alangad Subregistrar Office, Kongorppilly P.O., Pin 683518",Govt Office,Phase-1
757,Ernakulam,Koonamavu Bus stop,"St.philomena's high school , Koonammavu bus stop ,683518",Bus Stand,Phase-1
758,Ernakulam,Kunnukara,"Kunnukara ,Kunnukara P.O 683578,Ernakulam",Civi Station/Mini Civil station,Phase-1
759,Ernakulam,Karukutty Panchayath office,"Karukutty Grama panchayat Office ,Karukutty P O pin 683576",Panchayat office,Phase-1
760,Ernakulam,Karumalloor,"Karumalloor Grama Panchayth, Karumalloor, Pin 683511",Panchayat office,Phase-1
761,Ernakulam,Munambam kavala junction,"Chittattukara grama panchayat,Munambam kavala ,Vadaekkara P O , Pin- 683522",Panchayat office,Phase-1
762,Ernakulam,Mini Civil Station Aluva,"Mini Civil Station, Near Municipal Library, Aluva, PIN-683101",Civi Station/Mini Civil station,Phase-1
763,Ernakulam,Municipal Junction North Paravur,"Municipal Junction ,North Paravur Pin 683513",Municipal Office,Phase-1
764,Ernakulam,Moothakunnam Junction,"Moothakunnam, Moothakunnam P O, 683516",Bus Stand,Phase-1
765,Ernakulam,MUPPATHADAM JUNCTION,"Muppathadam Junction
Muppathadom, Edayar
Kerala 683110",Library,Phase-1
766,Ernakulam,Municipal Office ( Pump Junction ),"Aluva Municipal Office , Municipal Office Road,Pump Juncion ,Aluva,PIN-683101",Municipal Office,Phase-1
767,Ernakulam,Mulavukad Grama Panchayat Office,"Mulavukad P O,Ernakulam,Pin:682504",Panchayat office,Phase-1
768,Ernakulam,Nochima Junction,NAD .P.O-683563,School,Phase-1
769,Ernakulam,"Near Puthenvelikkara grama panchayat ,","Puthenvelikkara grama panchayat,pin 683594",Panchayat office,Phase-1
770,Ernakulam,Panchayat Padi Ezhikkara,Panchayat Padi Ezhikkara 683513,Panchayat office,Phase-1
771,Ernakulam,Panchayath Office Vazhakulam GP,Marambilly.P.O-683105,Panchayat office,Phase-1
772,Ernakulam,Parakkadavu Block office,"Parakkadavu Block office,Parakkadavu,Kurumassery P.O,683579",Block Office,Phase-1
773,Ernakulam,paravoor Block Panchayath Office,"Paravur Block Panchayath Office ,Kaitharam P O,683519",Block Office,Phase-1
774,Ernakulam,Subregistrars Office,"Sreemoolanagaram Panchayath Office, Kalady - Aluva Rd, Sreemoolanagaram, Kerala 683580",Panchayat office,Phase-1
775,Ernakulam,SCMS college,"Vidhya nagar , Pallissery ,padhuvapuram P O pin 683576",University/College,Phase-1
776,Ernakulam,"Sub.register office ,North Paravoor","North Paravoor, Chendamangalam, Kerala 683513",Govt Office,Phase-1
777,Ernakulam,"Taluk hospital,Puthenvelikkara","Taluk hospital,Puthenvelikkara,
Puthenvelikkara P.O,683594",Hospital,Phase-1
778,Ernakulam,Thottumugam Junction,"keezhmad gp , Thottumugham.P.O-683105",Panchayat office,Phase-1
779,Ernakulam,Velloorkunnam Junction Public Library,Muvattupuzha P O Kerala Pin 686661,Library,Phase-1
780,Ernakulam,Vengola panchayath Office,"Vengola P O ,ernakulam-683556.",Panchayat office,Phase-1
781,Ernakulam,Panchayath Office Complex Varapuzha,"Panchayath Office complex, Varapuzha .P.O.Pin 683517",Panchayat office,Phase-1
782,Ernakulam,Vypin Block Office,Kuzhuppilly Ayyampilly p o 682501,Block Office,Phase-1
783,Ernakulam,Vazhakulam Junction,"vazhakulam block , South Vazhakkulam.P.O-683105",Block Office,Phase-1
784,Ernakulam,Panchayat Office Kuzhupilly,"Kuzhuppilly Grama Panchayat,Ayyampilly.P.O,Pin - 682501",Panchayat office,Phase-1
785,Ernakulam,Panchayat Office narakkal,"Njarakkal Grama Panchayat,Njarakkal.P.O,Pin - 682505",Panchayat office,Phase-1
786,Ernakulam,GIDA Walkway near Goshree Bridge,"GIDA Office , Goshree Chathiyath Rd, Mulavukad, Ernakulam, Kerala 682018",Tourist Place,Phase-1
787,Ernakulam,Kizhakke kotta Junction,"Govt.Ayurveda clinic , Kizhakkekota jn , tripunithura , cochin 682301",Hospital,Phase-1
788,Ernakulam,"Vyttila Hub ,Bus station","Vyttila Mobility Hub Rd RSAC Road, Opp Mobility Hub, Vyttila, Ernakulam, Kerala 682019
",Bus Stand,Phase-1
789,Ernakulam,KSRTC Bus Stand,"Railway Station Rd, Periyar Nagar, Aluva, Kerala 683101",Bus Stand,Phase-2
790,Ernakulam,"Taluk Hospital, Muvattupuzha","SH 1, Thottumkalpeedika, Muvattupuzha, Kerala 686661",Hospital,Phase-2
791,Ernakulam,PARAVOOR MINI CIVIL STATION,"North Paravur, Kerala 683513",Civi Station/Mini Civil station,Phase-2
792,Ernakulam,ANGAMALY MINI CIVIL STATION,"Angamaly, Kerala 683572",Civi Station/Mini Civil station,Phase-2
793,Ernakulam,AC Bustop Kakkanad,"Near, Airport Road, Civil Station, Thrikkakara, Kakkanad, Kerala 682030",Bus Stand,Phase-1
794,Ernakulam,Aspirin Wall,"Taluk Headquarters Fort Kochi, Ernakulam District, Kochi, Kerala 680001",Tourist Place,Phase-1
795,Ernakulam,"Bharath Matha college, thrikakkara","Seaport - Airport Rd, Thrikkakara, Edappally, Kochi, Kerala 682021",University/College,Phase-1
796,Ernakulam,Boat Junction Ferry,"Marine Drive, Ernakulam, Kerala 682011",Public Place,Phase-1
797,Ernakulam,"Heritage Museum,Bustin Bunglow","Napier Street, Fort Kochi, Kochi, Kerala 682001",Tourist Place,Phase-1
798,Ernakulam,Collector Camp Office,"Club Rd, Pallimukku, Ernakulam, Kerala 682011",Govt Office,Phase-1
799,Ernakulam,Chottanikkara Temple sorrounding,"Chottanikkara, Chottanikkara Pin 682312",Public Place,Phase-1
800,Ernakulam,Civil station,Civil station Kakkanad - 682030,Civi Station/Mini Civil station,Phase-1
801,Ernakulam,Edappally Block Panchayat Office Building,"Kusumagiri P O,Prathibha Layout,Kakkanad,Pin 682030",Block Office,Phase-1
802,Ernakulam,Fact Junction,"Udyogamandal P O,Kochi-683501",Bus Stand,Phase-1
803,Ernakulam,Govt Medical College Ernakulam,"HMT Colony, Vadacode P O, 682021",University/College,Phase-1
804,Ernakulam,"Govt General Hospital ,ernakulam","Hospital Road,Marine Drive, Ernakulam, Kerala 682011",Hospital,Phase-1
805,Ernakulam,"Govt.Guest House,ernakulam","Shanmugham Rd, Marine Drive, Ernakulam, Kerala 682011",Guest House,Phase-1
806,Ernakulam,Grama Panchayat Office Thiruvaniyoor,"Panchayat Office, Thiruvaniyoor P.O,Thiruvaniyoor Ernakulam Dist Pin-682308",Panchayat office,Phase-1
807,Ernakulam,"Govt.  PWD Rest house ,Fort cochin",Fort cochin pincode .682001,Guest House,Phase-1
808,Ernakulam,High Court junction Police Club,"High Ct Rd, Marine Drive, Kochi, Kerala 682031",Court,Phase-1
809,Ernakulam,HMT Junction Kalamassery,"HMT Junction, HMT Rd, Kalamassery, Kochi, Kerala 683104",Bus Stand,Phase-1
810,Ernakulam,Piravom Hospital Junction,"Hospital Junction , Piravom P.O, Piravom, Ernakulam , Pin- 686664",Hospital,Phase-1
811,Ernakulam,IG CAMP OFFICE,"MIG and HIG Colony, Gandhi Nagar, Elamkulam, Ernakulam, Kerala 682020",Village Office,Phase-1
812,Ernakulam,"Jews Street,cochin,Police Museum","Jew Town, Kappalandimukku, Mattancherry, Kochi, Kerala 682002",Tourist Place,Phase-1
813,Ernakulam,Kumbalam Grama Panchayat Office,"Panangad P O, Ernakulam-682506",Panchayat office,Phase-1
814,Ernakulam,"(1)Kakkanad Bus Terminal ,Kakkanad","Thrikkakara Municipality,Kakkanad P O,Ernakulam Pin 682030",Bus Stand,Phase-1
815,Ernakulam,"Kanyanoor Taluk office ,Ernakulam","Kanayannur, Park Ave, Marine Drive, Ernakulam, Kerala 682011",Taluk Office,Phase-1
816,Ernakulam,Kochi Taluk Office,"Taluk Office Kochi, Ground floor, KB Jacob Rd, Fort Kochi, Kochi, Kerala 682001",Taluk Office,Phase-1
817,Ernakulam,"Mini Civil Station , Piravom","Sub registrar office piravom,Ground floor, mini Civil station piravom,Pazhoor, Kerala 686664",Civi Station/Mini Civil station,Phase-1
818,Ernakulam,Municipal Office Kalamassery,"South Kalamassery, Changampuzha Nagar P O, 682033",Municipal Office,Phase-1
819,Ernakulam,Manjummel Church,"Manjummel Church,Udyogamandal P O,Manjummel, Kochi-683501",Public Place,Phase-1
820,Ernakulam,"(2) Municipal Library and Park, Kakkanad","Municipal Park,Kakkanad P O 682030",Library,Phase-1
821,Ernakulam,Municipal office Maradu,"KRL Road ,Maradu P O Ernakulam-682304",Municipal Office,Phase-1
822,Ernakulam,"(4)N G O Quarters , Thrikkakara","NGO Quarters, Vazhakkala, Kochi, Kerala 682021",Village Office,Phase-1
823,Ernakulam,Near Panchayath office Kandakkadavu Junction,"Kandakkadavu Junction,Andikkadavu.P.O.682008",Panchayat office,Phase-1
824,Ernakulam,Near thrikakkara community Hall,"Community Hall, Thrikkakara, Kakkanad, Kochi, Kerala 682030",Public Place,Phase-1
825,Ernakulam,Piravom Old Panchayat Junction (KSRTC Juction),"Piravom P.O, Piravom, Ernakulam , Pin- 686664",Panchayat office,Phase-1
826,Ernakulam,PHC Nettoor,"Nettor Palli, Nettoor, Maradu, Ernakulam, Kerala 682040",Hospital,Phase-1
827,Ernakulam,Pukkattupady Junction,"Edathala Grama Panchayat Office , Aluva - Pukkattupady Rd, Edathala, Aluva, Kerala 683563",Panchayat office,Phase-1
828,Ernakulam,Palluruthy Block Panchayat Office,"Palluruthy P O,Ernakulam ,Pin 682006",Block Office,Phase-1
829,Ernakulam,"Pathalam ,Eloor Municipal Shopping complex","Eloor Municipal shopping complex, Udyogamandal P O,pathalam,Eloor,Kochi- 683501",Library,Phase-1
830,Ernakulam,RDO FORT KOCHI,"First floor, KB Jacob Rd, Fort Kochi, Kochi, Kerala 682001",Govt Office,Phase-1
831,Ernakulam,SN Park Maradu,"S N park , near kottaram Bagavathy temple,Maradu P O ,Ernakulam-682304",Tourist Place,Phase-1
832,Ernakulam,Cochin Shipyard Police Station,"Mahatma Gandhi Rd, Thevara Junction, Perumanoor, Kochi, Kerala ",Police Station,Phase-1
833,Ernakulam,Udayamperoor Panchayat Office,"Nadakkavu Junction , Udayamperoor P O, 682307",Panchayat office,Phase-1
834,Ernakulam,Village Office Kumbalangy,"Village Office, Kumbalanghi, Kochi-682007",Village Office,Phase-1
835,Ernakulam,Piravom Bus stand,"Piravom P.O, Piravom, Pin-686664",Library,Phase-1
836,Ernakulam,Coirfed," Mattammal Building, No: 39/6823, Mahatma Gandhi Rd, Ravipuram, Perumanoor, Kochi, Kerala 682015",Govt Office,Phase-2
837,Ernakulam,Commercial Tax Office,"MG Road ,Thevara, Perumanoor, Perumanoor, Kochi, Kerala 682015",Govt Office,Phase-2
838,Ernakulam,Cooperative Society,"MG Road,Thevara Junction, Ravipuram, Perumanoor, Kochi, Kerala 682015


 

",Public Place,Phase-2
839,Ernakulam,Kairali handicraft," Ernakulam South, Ernakulam, Kerala 682016",Public Place,Phase-2
840,Ernakulam,Kerabhavan/SRV School,"S R V Road ,Ernakulam South, Kerala 682011",Public Place,Phase-2
841,Ernakulam,Water authority building,"Seshadri Road, Shenoys, Ernakulam, Kerala 682011",Govt Office,Phase-2
842,Ernakulam,KSFE Kacheri Padi,"Morning Star Building, Chittoor Rd, Kacheripady, Ernakulam, Kerala 682018",Govt Office,Phase-2
843,Ernakulam,Ration office North Railway station EKM,"Opposite Town Railway Station, Ernakulam North, Kacheripady, Kochi, Kerala 682018",Govt Office,Phase-2
844,Ernakulam,Khadi Bhavan / BSNL Franchisie office,"Penta Towers, Banerji Rd, Kaloor, Ernakulam, Kerala 682017",Public Place,Phase-2
845,Ernakulam,Model technical school Kaloor,"4475, Banerji Rd, Kaloor, Kochi, Kerala 682017",School,Phase-2
846,Ernakulam,Traffic police station,"Old Railway Station Rd, Kacheripady, Ernakulam, Kerala 682018",Police Station,Phase-2
847,Ernakulam,Sulabha comfort station,"Marine Drive, Kochi, Kerala 682031",Public Place,Phase-2
848,Ernakulam,GCDA Shopping complex,"Near Rajeev Gandhi Stadium, Kadavanthra, Kochi, Kerala 682020",Govt Office,Phase-2
849,Ernakulam,Revenue tower /BSNL office,", Abdul Kalam Marg, Marine Drive, Ernakulam, Kerala 682011",Park,Phase-2
850,Ernakulam,Coorporation office Subhash park,"Park Ave, Marine Drive, Ernakulam, Kerala 682011",Park,Phase-2
851,Ernakulam,Rotary club comfort station,"South End of, Marine Drive, Kochi, Kerala 682011",Public Place,Phase-2
